epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0463,2.81286,5.14186,1.62113,0,0,0,0,2.34538,4.8015,1.33477,3.528e-05,3.528e-05,3.528e-05
2,17.6369,2.49175,4.97707,1.41049,0,0,0,0,2.14371,4.68426,1.14514,7.60616e-05,7.60616e-05,7.60616e-05
3,20.9847,2.17052,4.74947,1.19828,0,0,0,0,1.94445,4.64024,1.07277,0.000116436,0.000116436,0.000116436
4,24.7819,2.01148,4.47103,1.12357,0,0,0,0,1.81881,4.59869,1.0426,0.000156402,0.000156402,0.000156402
5,29.6593,1.91947,4.13372,1.0572,0.01009,0.05594,0.0524,0.04005,1.7468,4.41603,1.01884,0.000195962,0.000195962,0.000195962
6,33.0523,1.88052,3.7184,1.03872,0.02444,0.21678,0.11002,0.07446,1.73515,4.21926,0.99306,0.000235113,0.000235113,0.000235113
7,35.6884,1.82098,3.29008,1.00367,0.0334,0.48252,0.21197,0.12491,1.7306,3.91005,0.99494,0.000273857,0.000273857,0.000273857
8,38.2648,1.83267,3.04593,0.99482,0.03404,0.53147,0.25039,0.13966,1.71009,3.76258,0.99023,0.000312194,0.000312194,0.000312194
9,40.924,1.82828,2.86145,0.9808,0.04028,0.63636,0.27723,0.16244,1.71855,3.49201,1.00525,0.000350123,0.000350123,0.000350123
10,44.8066,1.81221,2.67044,0.99405,0.63168,0.17405,0.29608,0.18023,1.66964,3.38489,1.00003,0.000387645,0.000387645,0.000387645
11,49.1109,1.7601,2.43714,0.98767,0.74997,0.11716,0.29634,0.18018,1.65313,3.35427,1.00365,0.000424759,0.000424759,0.000424759
12,51.7827,1.8464,2.31942,0.99689,0.84664,0.14177,0.34921,0.18863,1.85451,3.01581,1.06996,0.000461466,0.000461466,0.000461466
13,54.2721,1.70237,2.10895,0.99052,0.83869,0.16827,0.40397,0.23222,1.67187,2.8996,1.01898,0.000497766,0.000497766,0.000497766
14,56.9169,1.76348,1.94801,0.99432,0.62238,0.16685,0.39295,0.21644,1.62118,2.9083,0.98589,0.000533657,0.000533657,0.000533657
15,59.8376,1.68254,1.91455,0.98722,0.55602,0.24875,0.40571,0.22831,1.63935,2.66303,1.00792,0.000547252,0.000547252,0.000547252
